name,diameter_min,diameter_max,velocity_kms,miss_distance_km,hazardous,neo_reference_id,nasa_jpl_url
1865 Cerberus (1971 UA),1.1656145947,2.6063934693,,,0,2001865.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001865
1866 Sisyphus (1972 XA),8.4441312798,18.8816515525,,,0,2001866.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001866
1915 Quetzalcoatl (1953 EA),0.5604733623,1.2532565376,,,0,2001915.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001915
1917 Cuyo (1968 AA),3.536347843,7.907514169,,,0,2001917.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001917
1943 Anteros (1973 EC),1.9344387205,4.3255364773,,,0,2001943.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001943
1981 Midas (1973 EA),2.4129869692,5.395602892,,,1,2001981.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2001981
2059 Baboquivari (1963 UA),1.6926024946,3.7847742368,,,0,2002059.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002059
2061 Anza (1960 UA),1.214940408,2.7166893409,,,0,2002061.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002061
2062 Aten (1976 AA),1.0059003902,2.249261651,,,0,2002062.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002062
2063 Bacchus (1977 HB),0.9606274149,2.1480282008,,,0,2002063.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002063
2100 Ra-Shalom (1978 RA),1.5085335612,3.3731835891,,,0,2002100.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002100
2101 Adonis (1936 CA),0.4792421155,1.071617948,,,1,2002101.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002101
2102 Tantalus (1975 YA),1.6770846216,3.750075218,,,1,2002102.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002102
2135 Aristaeus (1977 HA),0.6524616298,1.4589485569,,,1,2002135.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002135
2201 Oljato (1947 XC),2.2519304668,5.0354696043,,,1,2002201.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002201
2202 Pele (1972 RA),1.0630531449,2.3770590956,,,0,2002202.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002202
2212 Hephaistos (1978 SB),5.3034072332,11.8587790858,,,0,2002212.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002212
2329 Orthos (1976 WA),3.2251875645,7.2117386345,,,0,2002329.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002329
2340 Hathor (1976 UA),0.2180494405,0.4875733714,,,1,2002340.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002340
2608 Seneca (1978 DA),0.8483107619,1.8968805296,,,0,2002608.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2002608
3102 Krok (1981 QA),1.5579552413,3.4836938254,,,0,2003102.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003102
3103 Eger (1982 BB),2.3150212221,5.176544822,,,0,2003103.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003103
3122 Florence (1981 ET3),4.0602705828,9.0790410302,,,1,2003122.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003122
3199 Nefertiti (1982 RA),2.6457875993,5.9161609261,,,0,2003199.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003199
3200 Phaethon (1983 TB),3.5039264111,7.8350176433,,,1,2003200.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003200
3271 Ul (1982 RB),1.2839702958,2.8710448625,,,0,2003271.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003271
3288 Seleucus (1982 DV),2.2727673228,5.0820622309,,,0,2003288.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003288
3360 Syrinx (1981 VA),1.6464743776,3.6816286314,,,0,2003360.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003360
3361 Orpheus (1982 HR),0.3255029858,0.727846803,,,1,2003361.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003361
3362 Khufu (1984 QA),0.5254785303,1.1750057146,,,1,2003362.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003362
3551 Verenia (1983 RD),1.2038017674,2.6917825833,,,0,2003551.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003551
3552 Don Quixote (1983 SA),6.5547325584,14.6568275748,,,0,2003552.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003552
3554 Amun (1986 EB),1.7480545317,3.9087687612,,,0,2003554.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003554
3671 Dionysus (1984 KD),1.3383046182,2.9925401008,,,1,2003671.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003671
3691 Bede (1982 FT),2.7199127735,6.0819098544,,,0,2003691.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003691
3752 Camillo (1985 PA),2.4691926561,5.5212826285,,,0,2003752.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003752
3753 Cruithne (1986 TO),2.1704759431,4.8533317522,,,0,2003753.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003753
3757 Anagolay (1982 XB),0.4174024334,0.933340215,,,1,2003757.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003757
3838 Epona (1986 WA),1.9794975866,4.426291165,,,0,2003838.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003838
3908 Nyx (1980 PA),0.8601119401,1.9232687664,,,0,2003908.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003908
3988 Huma (1986 LA),0.6863647587,1.5347582577,,,0,2003988.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2003988
4015 Wilson-Harrington (1979 VA),1.536579294,3.4358957542,,,1,2004015.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004015
4034 Vishnu (1986 PA),0.5352479056,1.1968507018,,,1,2004034.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004034
4179 Toutatis (1989 AC),2.3257068746,5.2004386672,,,1,2004179.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004179
4183 Cuno (1959 LM),3.9134066315,8.7506432516,,,1,2004183.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004183
4197 Morpheus (1982 TA),2.6825941712,5.9984629228,,,0,2004197.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004197
4257 Ubasti (1987 QA),1.7082639526,3.8197943216,,,0,2004257.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004257
4341 Poseidon (1987 KF),1.6164228334,3.6144313359,,,0,2004341.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004341
4401 Aditi (1985 TB),1.5869197917,3.5484605292,,,0,2004401.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004401
4450 Pan (1987 SY),0.930154254,2.0798881414,,,1,2004450.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004450
4486 Mithra (1987 SB),2.0070351411,4.4878670088,,,1,2004486.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004486
4503 Cleobulus (1989 WM),1.8220277059,4.0741778073,,,0,2004503.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004503
4544 Xanthus (1989 FB),0.8923905787,1.9954459964,,,0,2004544.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004544
4581 Asclepius (1989 FC),0.1890405519,0.4227075246,,,1,2004581.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004581
4596 (1981 QB),1.3631855586,3.0481755751,,,0,2004596.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004596
4660 Nereus (1982 DB),0.4726666672,1.0569147985,,,1,2004660.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004660
4688 (1980 WF),0.3195618867,0.7145621017,,,0,2004688.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004688
4769 Castalia (1989 PB),0.8680704579,1.9410645532,,,1,2004769.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004769
4947 Ninkasi (1988 TJ1),0.6435095206,1.4389310323,,,0,2004947.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004947
4953 (1990 MU),2.7832676807,6.2235757337,,,1,2004953.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004953
4954 Eric (1990 SQ),8.2140052596,18.3670741281,,,0,2004954.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004954
4957 Brucemurray (1990 XJ),2.5267075415,5.6498898221,,,0,2004957.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004957
5011 Ptah (6743 P-L),1.214940408,2.7166893409,,,1,2005011.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005011
5131 (1990 BG),2.8744514425,6.4274688236,,,0,2005131.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005131
5143 Heracles (1991 VL),4.0790119403,9.1209479795,,,0,2005143.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005143
5189 (1990 UQ),0.7187121332,1.607089186,,,1,2005189.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005189
5324 Lyapunov (1987 SL),2.2623249055,5.058712276,,,0,2005324.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005324
5370 Taranis (1986 RA),2.3908645717,5.3461357073,,,0,2005370.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005370
5381 Sekhmet (1991 JY),1.2038017674,2.6917825833,,,0,2005381.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005381
5496 (1973 NA),1.5651464359,3.4997738255,,,0,2005496.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005496
5587 (1990 SB),4.431543091,9.9092315966,,,0,2005587.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005587
5590 (1990 VA),0.2770479727,0.6194981001,,,0,2005590.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005590
5604 (1992 FE),0.8882904164,1.9862777548,,,1,2005604.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005604
5626 Melissabrucker (1991 FE),3.602093458,8.0545258335,,,0,2005626.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005626
5645 (1990 SP),0.9518203298,2.1283349598,,,0,2005645.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005645
5646 (1990 TR),2.1016237932,4.6993736648,,,0,2005646.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005646
5653 Camarillo (1992 WD5),1.5154966357,3.3887534971,,,0,2005653.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005653
5660 (1974 MA),2.2312846442,4.9893041415,,,0,2005660.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2005660
